"","country","year","pop","continent","lifeExp","gdpPercap"
"1","Afghanistan",1952,8425333,"Asia",28.801,779.4453145
"2","Afghanistan",1957,9240934,"Asia",30.332,820.8530296
"3","Afghanistan",1962,10267083,"Asia",31.997,853.10071
"4","Afghanistan",1967,11537966,"Asia",34.02,836.1971382
"5","Afghanistan",1972,13079460,"Asia",36.088,739.9811058
"6","Afghanistan",1977,14880372,"Asia",38.438,786.11336
"7","Afghanistan",1982,12881816,"Asia",39.854,978.0114388
"8","Afghanistan",1987,13867957,"Asia",40.822,852.3959448
"9","Afghanistan",1992,16317921,"Asia",41.674,649.3413952
"10","Afghanistan",1997,22227415,"Asia",41.763,635.341351
"11","Afghanistan",2002,25268405,"Asia",42.129,726.7340548
"12","Afghanistan",2007,31889923,"Asia",43.828,974.5803384
"85","Bahrain",1952,120447,"Asia",50.939,9867.084765
"86","Bahrain",1957,138655,"Asia",53.832,11635.79945
"87","Bahrain",1962,171863,"Asia",56.923,12753.27514
"88","Bahrain",1967,202182,"Asia",59.923,14804.6727
"89","Bahrain",1972,230800,"Asia",63.3,18268.65839
"90","Bahrain",1977,297410,"Asia",65.593,19340.10196
"91","Bahrain",1982,377967,"Asia",69.052,19211.14731
"92","Bahrain",1987,454612,"Asia",70.75,18524.02406
"93","Bahrain",1992,529491,"Asia",72.601,19035.57917
"94","Bahrain",1997,598561,"Asia",73.925,20292.01679
"95","Bahrain",2002,656397,"Asia",74.795,23403.55927
"96","Bahrain",2007,708573,"Asia",75.635,29796.04834
"97","Bangladesh",1952,46886859,"Asia",37.484,684.2441716
"98","Bangladesh",1957,51365468,"Asia",39.348,661.6374577
"99","Bangladesh",1962,56839289,"Asia",41.216,686.3415538
"100","Bangladesh",1967,62821884,"Asia",43.453,721.1860862
"101","Bangladesh",1972,70759295,"Asia",45.252,630.2336265
"102","Bangladesh",1977,80428306,"Asia",46.923,659.8772322
"103","Bangladesh",1982,93074406,"Asia",50.009,676.9818656
"104","Bangladesh",1987,103764241,"Asia",52.819,751.9794035
"105","Bangladesh",1992,113704579,"Asia",56.018,837.8101643
"106","Bangladesh",1997,123315288,"Asia",59.412,972.7700352
"107","Bangladesh",2002,135656790,"Asia",62.013,1136.39043
"108","Bangladesh",2007,150448339,"Asia",64.062,1391.253792
"217","Cambodia",1952,4693836,"Asia",39.417,368.4692856
"218","Cambodia",1957,5322536,"Asia",41.366,434.0383364
"219","Cambodia",1962,6083619,"Asia",43.415,496.9136476
"220","Cambodia",1967,6960067,"Asia",45.415,523.4323142
"221","Cambodia",1972,7450606,"Asia",40.317,421.6240257
"222","Cambodia",1977,6978607,"Asia",31.22,524.9721832
"223","Cambodia",1982,7272485,"Asia",50.957,624.4754784
"224","Cambodia",1987,8371791,"Asia",53.914,683.8955732
"225","Cambodia",1992,10150094,"Asia",55.803,682.3031755
"226","Cambodia",1997,11782962,"Asia",56.534,734.28517
"227","Cambodia",2002,12926707,"Asia",56.752,896.2260153
"228","Cambodia",2007,14131858,"Asia",59.723,1713.778686
"289","China",1952,556263527.999989,"Asia",44,400.448610699994
"290","China",1957,637408000,"Asia",50.54896,575.9870009
"291","China",1962,665770000,"Asia",44.50136,487.6740183
"292","China",1967,754550000,"Asia",58.38112,612.7056934
"293","China",1972,862030000,"Asia",63.11888,676.9000921
"294","China",1977,943455000,"Asia",63.96736,741.2374699
"295","China",1982,1000281000,"Asia",65.525,962.4213805
"296","China",1987,1084035000,"Asia",67.274,1378.904018
"297","China",1992,1164970000,"Asia",68.69,1655.784158
"298","China",1997,1230075000,"Asia",70.426,2289.234136
"299","China",2002,1280400000,"Asia",72.028,3119.280896
"300","China",2007,1318683096,"Asia",72.961,4959.114854
"661","Hong Kong China",1952,2125900,"Asia",60.96,3054.421209
"662","Hong Kong China",1957,2736300,"Asia",64.75,3629.076457
"663","Hong Kong China",1962,3305200,"Asia",67.65,4692.648272
"664","Hong Kong China",1967,3722800,"Asia",70,6197.962814
"665","Hong Kong China",1972,4115700,"Asia",72,8315.928145
"666","Hong Kong China",1977,4583700,"Asia",73.6,11186.14125
"667","Hong Kong China",1982,5264500,"Asia",75.45,14560.53051
"668","Hong Kong China",1987,5584510,"Asia",76.2,20038.47269
"669","Hong Kong China",1992,5829696,"Asia",77.601,24757.60301
"670","Hong Kong China",1997,6495918,"Asia",80,28377.63219
"671","Hong Kong China",2002,6762476,"Asia",81.495,30209.01516
"672","Hong Kong China",2007,6980412,"Asia",82.208,39724.97867
"697","India",1952,3.72e+08,"Asia",37.373,546.5657493
"698","India",1957,4.09e+08,"Asia",40.249,590.061996
"699","India",1962,4.54e+08,"Asia",43.605,658.3471509
"700","India",1967,5.06e+08,"Asia",47.193,700.7706107
"701","India",1972,5.67e+08,"Asia",50.651,724.032527
