site_id,date,visit_no,season,location,snail_id,snail_no,sex,shell_height_mm,infection_status,trematode_species,snail_quadrat_no,snail_density,lt_height_ft,water_temp_C,air_temp_C,salinity_ppt,grass_quadrat_no,water_depth_cm,quadrat_distance_m,shoot_density,grass_species_1,no_blades_1,blade1_length_cm_1,blade2_length_cm_1,blade3_length_cm_1,blade4_length_cm_1,blade5_length_cm_1,grass_species_2,no_blades_2,blade1_length_cm_2,blade2_length_cm_2,blade3_length_cm_2,blade4_length_cm_2,blade5_length_cm_2,tin_wt_g,dry_filter_wt_g,tin_dry_filter_wt_g,wet_filter_wt_g,tin_filter_epibiont_wt_g,epibiont_biomass_mg,foil_wt_g,grass_dry_wt_g
HI,20240405,1,early summer,straits,HI_1_01,1,1,19.2,0,,Q1,9,-0.06,21.3,17.2,30.4,Q1,0,5.58,1,zostera,5,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_02,2,0,14,0,,Q2,32,,,,,Q2,0,6.52,1,zostera,5,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_03,3,0,17.3,0,,Q3,40,,,,,Q3,0,7.66,1,zostera,5,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_04,4,0,19.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_05,5,0,16.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_06,6,0,16.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_07,7,0,18.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_08,8,1,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_09,9,0,16.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_10,10,1,22.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_11,11,1,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_12,12,1,18.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
